resident_id;first_name;last_name;ward;email;phone
101;Ayanda;Ndlovu;8;ayanda.n@email.com;812345678
102;Bongani;Mokoena;55;bongani.m@email.com;823456789
103;Chloe;van Wyk;8;chloe.v@email.com;834567890
104;David;Petersen;12;david.p@email.com;845678901
105;Emily;Naidoo;55;emily.n@email.com;856789012
106;Fatimah;Solomon;8;fatimah.s@email.com;867890123
107;George;Molefe;12;george.m@email.com;878901234
108;Hloniphani;Dlamini;23;hloniphani.d@email.com;889012345
109;Ibrahim;Khan;41;ibrahim.k@email.com;890123456
110;Jessica;Jansen;23;jessica.j@email.com;801234567
111;Katlego;Sibanda;55;katlego.s@email.com;812345679
112;Lwazi;Zwane;41;lwazi.z@email.com;823456790
113;Mila;Govender;12;mila.g@email.com;834567901
114;Nadia;Omar;8;nadia.o@email.com;845679012
115;Oscar;Gama;23;oscar.g@email.com;856790123
116;Palesa;Mabena;55;palesa.m@email.com;867901234
117;Quentin;Pillay;41;quentin.p@email.com;879012345
118;Rethabile;Khumalo;12;rethabile.k@email.com;880123456
119;Sipho;Nkosi;23;sipho.n@email.com;891234567
120;Thandi;Venter;55;thandi.v@email.com;802345678
121;Amara;Williams;8;amara.w@email.com;813345679
122;Blessing;Mahlangu;12;blessing.m@email.com;824356790
123;Carmen;de Villiers;23;carmen.d@email.com;835467901
124;Dineo;Mthembu;41;dineo.m@email.com;846578012
125;Ethan;Smith;55;ethan.s@email.com;857689123
126;Fazila;Abrahams;8;fazila.a@email.com;868790234
127;Graham;Johnson;12;graham.j@email.com;879801345
128;Hlengiwe;Cele;23;hlengiwe.c@email.com;880912456
129;Ivan;Kotze;41;ivan.k@email.com;891023567
130;Jabu;Radebe;55;jabu.r@email.com;802134678
131;Keagan;Marais;8;keagan.m@email.com;813245789
132;Lerato;Mogale;12;lerato.m@email.com;824356890
133;Michael;Adams;23;michael.a@email.com;835467901
134;Nomsa;Zulu;41;nomsa.z@email.com;846578012
135;Olwethu;Ngubane;55;olwethu.n@email.com;857689123
136;Priya;Patel;8;priya.p@email.com;868790234
137;Quinton;Brown;12;quinton.b@email.com;879801345
138;Refilwe;Maseko;23;refilwe.m@email.com;880912456
139;Sizani;Hadebe;41;sizani.h@email.com;891023567
140;Tasneem;Essack;55;tasneem.e@email.com;802134678
141;Unathi;Mthethwa;8;unathi.m@email.com;813245789
142;Vuyani;Tshabalala;12;vuyani.t@email.com;824356890
143;Wanda;Louw;23;wanda.l@email.com;835467901
144;Xolani;Dube;41;xolani.d@email.com;846578012
145;Yolanda;Steyn;55;yolanda.s@email.com;857689123
146;Zanele;Mbeki;8;zanele.m@email.com;868790234
147;Aaron;Daniels;12;aaron.d@email.com;879801345
148;Bonolo;Moloi;23;bonolo.m@email.com;880912456
149;Charlene;Human;41;charlene.h@email.com;891023567
150;Derek;van der Merwe;55;derek.v@email.com;802134678
